,screen_name,statuses_count
1512,BeenishRezavi,355.0
1519,PristineAngel,6618.0
1525,riddle_skip,30.0
1526,mllohrman,20957.0
1528,mrisner,29507.0
1530,BielBryce,11671.0
1535,PZeien,4616.0
1540,WarrenPeace,6836.0
1541,dnielleaa,12500.0
1550,YaBoiiiBoogie,1200.0
1551,Plantsurfer,1334.0
1552,TKissack20,21426.0
1554,RISEdtwa,12797.0
1556,scubagiraffe,552.0
1561,trishbetweetin,674.0
1564,janelliparra19,22656.0
1568,tmj_usa_sales,944.0
1576,tppagie,550.0
1579,IC_History,1111.0
1583,jcoros,1031.0
1585,AnnePeoria,3275.0
1586,Tim57869722,1452.0
1587,WVHSStipp,4226.0
1589,REKServices,2492.0
1592,J_woodrum,903.0
1597,Smaritoni1068,513.0
1604,amanda__koch,300.0
1605,deereboy4,6708.0
1608,bwjw2013,1622.0
1622,blevins_kevin,11389.0
1626,ConnectTransit,3398.0
1628,JasonTodtz,5575.0
1630,ChefTimmy29,10868.0
1633,BlueMilkDrinker,13976.0
1636,Tee_Platt,1943.0
1647,DennisPBush1,20.0
1650,AgentMikeFrank,1182.0
1655,Mojo1130,18842.0
1656,jaketriller,44074.0
1658,philgates1976,8053.0
1664,evil_trotter,845.0
1665,CarrieBottrell,18.0
1675,greciabenni,26964.0
1676,NGorsich,6085.0
1677,WordGal122,852.0
1678,benorian,4907.0
1679,TheresaDelano,4503.0
1682,tmj_IL_skltrd,239.0
1684,cook843,347.0
1688,AStillwellPhD,3465.0
1689,smashley1208,19555.0
1693,jonahklima98,5804.0
1697,deep_disco,1115.0
1698,AustinLandon16,13416.0
1704,vinrock46,3607.0
1711,walk_thisway2,1436.0
1714,joshhayes_15,12628.0
1716,tallguytony,39532.0
1721,foreverjenn716,144.0
1723,hannahmeisel,18045.0
1739,auch2882,823.0
1741,robertpomazak,10347.0
1743,cardiackid00,3061.0
1745,JaydenNicole13,984.0
1747,RChanelle68,4221.0
1748,slukigirl90,2990.0
1751,wlultimate,8036.0
1753,Dennymite_53,1381.0
1758,jahnkedylan1,100.0
1768,KHamilton14,9959.0
1780,CowntGaming,5057.0
1785,Smashleeeey15,37044.0
1799,lance_jamie,3986.0
1800,zegirl01,1613.0
1805,buffycar,40084.0
1813,__Cal__Pal__,1762.0
1815,Rare4Parx,5252.0
1817,eliopictures,14985.0
1819,Kittycat4266,641.0
1823,markmonge,1053.0
1830,thatwasjen,131.0
1833,WVWorldLanguage,539.0
1845,devonkelly5,1605.0
1846,VelvetTearz4u,1290.0
1847,JPRSEK,433.0
1848,AveryJenkins,13201.0
1849,megan_haas97,7805.0
1850,SteveMcKenney,12665.0
1851,OvaesReyaz,1124.0
1852,BrookeCrawmer,35.0
1853,jasonvana,21080.0
1856,PotsrevenSuz,2681.0
1867,CLR_R3D,447.0
1873,maddie_n19,271.0
1875,whitneytoddd,3433.0
1878,BreymeyerFarms,165.0
1880,reddogma1,621.0
1882,Jennahlynn01,4909.0
1883,quarterhorsenut,4444.0
1885,jfl711,1590.0
1888,CourtneyLPahlke,219.0
1889,gabbybow,2195.0
1890,andrewdegroot84,1981.0
1892,GamingBellas,203.0
1898,pandaflo_,15626.0
1906,KelsiCharron,95.0
1910,tmj_ILS_retail,509.0
1913,Sc_Bustamante,7909.0
1914,dollyfarms2,3440.0
1918,tmj_il_mgmt,543.0
1924,emlouweezy,17439.0
1925,hjosh64,996.0
1926,cheyennen69,30303.0
1931,muzzicluvr,417.0
1938,PabloIglesiasTV,5167.0
1939,amandagaddam,3299.0
1941,haileyhuml,14073.0
1942,NSummers23,5239.0
1949,trentongarage,213.0
1958,tmj_IL_LABOR,516.0
1959,doobiemoonbeamx,135.0
1960,sjbutz,1716.0
1963,___Rocky______,4999.0
1965,icannibalparty,2375.0
1967,grahamho2115,269.0
1969,dahlerfarms,771.0
1971,hikingwithshawn,4148.0
1975,hallowcalypso,210.0
1979,hungu1995,16654.0
1984,Dexters_Library,47014.0
1991,LashaeMonroe3,21.0
1993,NJohill,702.0
1997,choyabird,628.0
1999,wbnqsusan,2392.0
2000,AmyVert,1820.0
2003,dbroalexander,11302.0
2006,EchoTopChasers,2664.0
2007,jus1Don,21604.0
2008,DrewWilmington,1303.0
2009,TheNotoriousADD,9266.0
2010,tswatkowski,44408.0
2011,CpnhgnMedia,164.0
2016,olivia_worth2,6706.0
2029,WxJmar93,8310.0
2032,BigDaddyStuck,5322.0
2034,tmj_il_hrta,922.0
2038,Amdocs,28211.0
2041,tipof_arrowhead,14568.0
2042,sarahlachnr,6543.0
2047,PrivateDJStain,68660.0
2054,trreeennt1,1813.0
2056,BriannaGehrig,998.0
2057,cardsfan42,2882.0
2058,BeauBecraft,13598.0
2060,snicolfritz,6905.0
2061,druvonachen,26012.0
2070,yungrichdee_,9776.0
2073,aocalderon96,23793.0
2075,hamidmzee,166.0
2076,EddieKline93,234.0
2077,heatherbrackney,14693.0
2083,coreybass,3833.0
2085,letecia_bote,41076.0
2086,lilcassieg,32047.0
2090,AriVargas20,6867.0
2093,karsyn_hanson,14188.0
2096,TKrauskopf,793.0
2097,YoungBrokeOscar,1015.0
2098,DaphneKollbaum,299.0
2099,luv_monay908,42234.0
2100,ScanlonBecca,641.0
2102,Marquette_Jobs,498.0
2104,leighgray,36156.0
2110,algorhetor,6048.0
2111,ZachLaVoy,20110.0
2117,SOUTHFootba11,3019.0
2120,NyanwareNyan,897.0
2122,Jim_Angell,851.0
2125,cat_81491,7062.0
2127,EzraLee32,1501.0
2133,Tibbie2000,1461.0
2136,repkingtrep33,2475.0
2149,chefbuch,942.0
2152,olskult,14428.0
2159,HawkeyeMom11,1729.0
2160,GrubSeeker,4307.0
2161,halarryous327,2797.0
2165,yungraven,23688.0
2175,Cool_Hand__Luke,1007.0
2184,alondritaa91,28928.0
2186,_tiannajohnson,7224.0
2187,KelsieLazorchak,3871.0
2190,lwhite_loretta,1351.0
2197,fishysiu,1824.0
2199,FarmBoySD,30103.0
2210,kburleyson12,19724.0
2223,tmj_IL_transp,623.0
2226,laurakarr22,11480.0
2228,KobyGetsBuckets,4002.0
2235,Blaney12Freak,10539.0
2236,CharlesPeekWX,2354.0
2242,braunrl,41595.0
2248,FragaleRogerio,229.0
2250,mcmahon,2348.0
2256,GinaWinkelman,8224.0
2260,jimmytsunimmy,406.0
2262,Zasstryn,44137.0
2263,rcrowncenter,1514.0
2280,gail_simonton,4262.0
2281,jaytay2066,2929.0
2283,JayyRayy_,42903.0
2289,CGroenhagen,884.0
2290,ChrisWi37248709,2473.0
2291,Kat_krochet,9198.0
2292,tmj_ILS_secure,217.0
2295,bbeekk321,70493.0
2296,Boofybuckets_10,27215.0
2297,BradNeums,31349.0
2307,Buyafarmgirl,1135.0
2310,tmj_IL_cstsrv,689.0
2316,Gvd90860842,40.0
2320,_lilaam,50863.0
2324,tmj_stl_transp,532.0
2326,NathanBiggs626,943.0
2329,moonlily333,29099.0
2333,nnceeliz,472.0
2335,xgraysonxethan_,43568.0
2336,DavidNolder,6861.0
2339,king773_rehab,1301.0
2351,BurkheadMarvin,6016.0
2352,tmj_IL_banking,263.0
2353,jetlifehickman,14616.0
2359,EthanAn46939524,81.0
2363,shaecohan,6141.0
2368,_nahduh,16755.0
2373,Eric_Sandie,4051.0
2376,ktbautista1,19680.0
2379,mattcorridoni,14429.0
2381,samminicole05,632.0
2390,thedragtumour,15428.0
2391,ktpthomas,3900.0
2399,Yoo5ive,27170.0
2400,DFVwines,1886.0
2404,DoDTern,4369.0
2407,FFJake384,597.0
2417,BSilverio20,10879.0
2427,kimdud2,110.0
2433,DeeClev1969,193.0
2434,ChadJWeeks,351.0
2435,Brauer_Emily,2130.0
2439,natman_22,894.0
2447,tempestchasing,21506.0
2451,Twist_83,20215.0
2454,Dsw80W,71.0
2455,clairecoogs,5120.0
2465,DoraDoraDora_,79802.0
2469,brenda_olandes,55.0
2470,IWUSoftball,1172.0
2473,OhlendorfJordan,2695.0
2477,reedo284,6944.0
2478,lizivyy,18449.0
2479,PandaCareers,7065.0
2484,abbeemarie,60255.0
2486,philcircle,8672.0
2489,Bobjnorris,4211.0
2496,MDR4__,38032.0
2498,ArroyoJonn,4386.0
2500,bnafactory,3846.0
2502,ItsMarilynduh,2123.0
2507,hoggins_cory,109.0
2509,leoRodriguezOG,5186.0
2510,CHRIS_NUTZ,40636.0
2513,apgsu3,1489.0
2516,mrmcdonaldsking,36671.0
2523,DJmtch44,4150.0
2525,ThepplsChamp_,46637.0
2533,ollerhayley,17797.0
2534,CeroniChristine,3062.0
2540,mezzoihnen,36293.0
2541,tmj_il_adm,294.0
2543,grainman34,2579.0
2546,voice_outside,1824.0
2551,T0ne87,2880.0
2554,MikeCunningham,2053.0
2560,Marie25Tayla,682.0
2564,bithooked,1674.0
2565,drake_green24,2063.0
2571,kjtt84,62.0
2575,RotterLucas,51960.0
2578,mykialyxoxo,2671.0
2583,Clipscomb13,6506.0
2587,stlriverrats,47.0
2588,Galileuhh,5121.0
2593,SisterCitiesSTL,685.0
2602,BikerRadio,1407.0
2603,JLcarter74,3119.0
2604,LibbyStone2,173026.0
2605,skylar_skeed97,1372.0
2607,uie_DMP,2480.0
2608,reverberationbn,10894.0
2609,Eric_Nunez_,4668.0
2614,SalmanShadi,8110.0
2616,vandy1690,5600.0
2617,Jaayy_C,17173.0
2621,iLoveDanaSimone,8462.0
2630,PaigeeConnerr,492.0
2631,mrfairbanksngs,791.0
2635,DaneRheinecker_,7588.0
